"000_pm","0","000 - Project Management","Project Management","",""
"001_pm","000_pm","001 - Project Initiation","Project Initiation","",""
"001_pm_01","001_pm","001A - IT Demand Form","IT Demand Form","PDF","F0013001-PM-IT Demand Form v0.1"
"001_pm_02","001_pm","001B - Project Approval Form","Project Approval Form","PDF","F0013001-PM-Project Approval Form v0.1"
"001_pm_03","001_pm","001C - Charge Code Request Form","Charge Code Request Form","PDF","F0013001-PM-Charge Code Request Form v0.1"
"001_pm_04","001_pm","001D - High Level Workplan","High Level Workplan","XLS","F0013001-PM-High Level Workplan v0.1"
"002_pm","000_pm","002 - Project Work Plan","Detailed Work Plan","XLS,MPP","F0013001-PM-Detailed Work Plan v0.1"
"003_pm","000_pm","003 - Overview Training & Presentation","Overview Training & Presentation","",""
"003_pm_01","003_pm","003A - Training Slide","Training Slide","PPT",""
"003_pm_02","003_pm","003B - Presentation Slide","Presentation Slide","PPT",""
"004_pm","000_pm","004 - Project Progress Report","Project Progress Report","",""
"004_pm_01","004_pm","004A - Project Tracking Report","Project Tracking Report","","F0013001-PM-Project Tracking Report v0.1"
"004_pm_02","004_pm","004B - Project Progress Report","Project Progress Report","PPT","F0013001-PM-Project Progress Report v0.1"
"005_pm","000_pm","005 - Project Issues","Project Issue List","","F0013001-PM-Project Issue List v0.1"
"006_pm","000_pm","006 - Minutes of Meeting","MOM","DOC","F0013001-PM-MOM yyyymmdd"
"007_pm","000_pm","007 - Consultant Work Report","CWR Sign Off","PDF","F0013001-PM-CWR yyyymmdd"
"008_pm","000_pm","008 - Project Change Request","Project Change Request","",""
"008_pm_01","008_pm","008A - Project Change Request Sign Off","Project Change Request Sign Off","PDF","F0013001-PM-Project Change Request v0.1"
"008_pm_02","008_pm","008B - Detailed Project Change Request","Detailed Project Change Request ","PDF","F0013001-PM-Detailed Project Change Request v0.1"
"009_pm","000_pm","009 - Others","Others","*","*"
"100_pp","0","100 - Project Preparation","Project Preparation","",""
"101_pp","100_pp","101 - Project Charter","Project Charter","PDF","F0013001-PP-Project Charter v0.1"
"102_pp","100_pp","102 - Project Organization","Project Organization","PPT","F0013001-PP-Organization Chart v0.1"
"102_pp_01","102_pp","102A - Organization Chart","Organization Chart","PPT","F0013001-PP-Organization Chart v0.1"
"102_pp_02","102_pp","102B - Contact List","Contact List","XLS","F0013001-PP-Contact List v0.1"
"103_pp","100_pp","103 - Project Kick Off","Project Kick Off","PPT","F0013001-PP-Kick Off v0.1"
"104_pp","100_pp","104 - Project Environment","Project Requirement","XLS","F0013001-PP-Project Requirement v0.1"
"105_pp","100_pp","105 - Others","Others","*","*"
"200_bb","0","200 - Business Blueprint","Business Blueprint","",""
"201_bb","200_bb","201 - BPML","Business Process Master List","XLS","F0013001-BB-BPML v0.1"
"201_bb","200_bb","202 - PDD","Process Definition Documentation","DOC","F0013001-BB-PDD v0.1"
"201_bb","200_bb","203 - Detail Requirement","Detail Requirement ","XLS","F0013001-BB-PDD-SD-Checkroll Process v0.1"
"201_bb","200_bb","204 - Sign Off Document","Blueprint Phase Sign Off","PDF","F0013001-BB-Blueprint Phase v0.1"
"201_bb","200_bb","205 - Others","Others","*","*"
"300_rl","0","300 - Realization","Realization","",""
"301_rl","300_rl","301 - RICEFW","RICEFW ","XLS","F0013001-RL-RICEFW v0.1"
"302_rl","300_rl","302 - FDS","Functional Design Specification","DOC","F0013001-RL-FDS v0.1"
"303_rl","300_rl","303 - Technical Specification","Technical Specification","DOC","F0013001-RL-Technical Specification v0.1"
"304_rl","300_rl","304 - Configuration Script","Configuration Script","DOC,XLS","F0013001-RL-Configuration Script v0.1"
"305_rl","300_rl","305 - User Authorization Role","User Authorization Role","XLS","F0013001-RL-UAT v0.1"
"306_rl","300_rl","306 - System Integration Test","System Integration Test","",""
"306_rl_01","306_rl","306A - SIT Checklist","SIT Checklist","XLS","F0013001-RL-SIT Checklist v0.1"
"306_rl_02","306_rl","306B - SIT Test Script","SIT Test Script","DOC","F0013001-RL-SIT Test Script v0.1"
"307_rl","300_rl","307 - Key User Training","Key User Training","",""
"307_rl_01","307_rl","307A - KUT Attendance","KUT Attendance","PDF","F0013001-RL-KUT Attendance"
"307_rl_02","307_rl","307B - KUT Confirmation","KUT Confirmation","PDF","F0013001-RL-KUT Confirmation v0.1"
"308_rl","300_rl","308 - User Acceptance Test","UAT Script","DOC","F0013001-RL-UAT v0.1"
"309_rl","300_rl","309 - User Manual Guidance","User Manual Guidance","DOC","F0013001-RL-User Manual Guidance v0.1"
"310_rl","300_rl","310 - Sign Off Document","Realization Phase Sign Off ","PDF","F0013001-RL-Realization Sign Off v0.1"
"311_rl","300_rl","311 - Others","Others","*","*"
"400_fp","0","400 - Final Preparation","Final Preparation","",""
"401_fp","400_fp","401 - End User Training","End User Training","",""
"401_fp_01","401_fp","401A - EUT Agenda","EUT Agenda","XLS","F0013001-PP-EUT Agenda v0.1"
"401_fp_02","401_fp","401B - EUT Attendance","EUT Attendance","XLS","F0013001-PP-EUT Attendance v0.1"
"402_fp","400_fp","402 - Master Data Preparation","Master Data Preparation","XLS","F0013001-PP-Master Data Preparation v0.1"
"403_fp","400_fp","403 - Cutover","Cutover","XLS","F0013001-PP-Cutover v0.1"
"404_fp","400_fp","404 - Sign Off Document","Final Preparation Phase Sign Off ","PDF","F0013001-PP-Final Preparation Sign Off v0.1"
"401_fp","400_fp","405 - Others","Others","*","*"
"500_gl","0","500 - Go Live","Go Live","",""
"501_gl","500_gl","501 - Transaction Checklist","Transaction Checklist","XLS","F0013001-GL-Transaction Checklist v0.1"
"502_gl","500_gl","502 - Closure ","Closure Meeting","PPT","F0013001-GL-Closure Meeting v0.1"
"503_gl","500_gl","503 - Sign Off Document","Project Closure","PDF","F0013001-GL-Project Closure v0.1"
"504_gl","500_gl","504 - Others","Others","*","*"
"600_ho","0","600 - Handover","Handover","",""
"601_ho","600_ho","601 - Handover Checklist","Handover Checklist","XLS","F0013001-HO-Handover Checklist v0.1" 